City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Qaqortoq,GL,2021-11-25 22:44,60.7167,-46.0333,34.3,99,100,7.52
123,Huarmey,PE,2021-11-25 22:44,-10.0681,-78.1522,68.7,81,81,8.93
124,Alofi,NU,2021-11-25 22:44,-19.0595,-169.9187,76.89,75,75,8.05
125,Harper,LR,2021-11-25 22:44,4.375,-7.7169,80.13,83,62,8.61
126,Ranong,TH,2021-11-25 22:40,9.9658,98.6348,75.15,91,99,4.34
127,Saint-Pierre,RE,2021-11-25 22:44,-21.3393,55.4781,78.48,67,90,1.14
128,Cidreira,BR,2021-11-25 22:44,-30.1811,-50.2056,69.58,98,100,2.26
129,Constitucion,CL,2021-11-25 22:44,-35.3333,-72.4167,61.83,67,7,15.82
130,Bud,US,2021-11-25 22:44,39.447,-86.1758,41.31,90,100,15.1
131,Wagar,SD,2021-11-25 22:44,16.1525,36.2032,75.33,71,0,12.48
132,Bathsheba,BB,2021-11-25 22:44,13.2167,-59.5167,77.61,88,40,6.91
133,Labuhan,ID,2021-11-25 22:44,-6.8844,112.2051,79.29,82,100,6.46
134,Chernaya Kholunitsa,RU,2021-11-25 22:45,58.8511,51.7154,11.26,98,100,5.28
135,Fairbanks,US,2021-11-25 22:40,64.8378,-147.7164,-3.77,71,1,0
136,Hervey Bay,AU,2021-11-25 22:45,-25.2986,152.8535,79.03,93,98,5.99
137,Troitsko-Pechorsk,RU,2021-11-25 22:45,62.7084,56.1964,1.96,99,97,3.91
138,Devonport,AU,2021-11-25 22:45,-41.1667,146.35,57.09,53,93,10.96
139,Acari,PE,2021-11-25 22:45,-15.4311,-74.6158,70.57,73,96,5.28
140,Broken Hill,AU,2021-11-25 22:45,-31.95,141.4333,53.31,82,90,26.46
141,Saskylakh,RU,2021-11-25 22:45,71.9167,114.0833,-12.19,97,60,8.3
142,Baker City,US,2021-11-25 22:41,44.7749,-117.8344,45.82,52,75,19.57
143,Leningradskiy,RU,2021-11-25 22:45,69.3833,178.4167,-23.71,96,99,4.94
144,Kruisfontein,ZA,2021-11-25 22:45,-34.0033,24.7314,61.88,80,100,17.49
145,New Port Richey,US,2021-11-25 22:45,28.2442,-82.7193,74.05,70,49,1.01
146,Yeppoon,AU,2021-11-25 22:45,-23.1333,150.7333,78.58,70,100,7.29
147,Nantucket,US,2021-11-25 22:44,41.2835,-70.0995,50.09,78,87,15.21
148,Bullhead City,US,2021-11-25 22:45,35.1478,-114.5683,72.66,14,1,29.93
149,Hay River,CA,2021-11-25 22:42,60.8156,-115.7999,12.18,85,90,3.44
150,Uruguaiana,BR,2021-11-25 22:42,-29.7547,-57.0883,82.33,74,0,23.02
151,Karratha,AU,2021-11-25 22:45,-20.7377,116.8463,83.75,24,73,18.7
152,La Ronge,CA,2021-11-25 22:45,55.1001,-105.2842,16.05,79,90,9.22
153,Qui Nhon,VN,2021-11-25 22:42,13.7667,109.2333,73.45,86,100,16.42
