City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
41,Hobyo,SO,80.31,light rain,5.3505,48.5268,Halane Hotel and Restaurent
42,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
43,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
44,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
45,Culebra,PR,80.6,clear sky,18.303,-65.301,Palmetto Guesthouse
46,Gizo,SB,83.08,light rain,-8.103,156.8419,Imagination Island
47,Arlit,NE,79.16,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
48,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
49,Uruguaiana,BR,84.13,scattered clouds,-29.7547,-57.0883,Fares Turis Hotel
50,Poum,NC,79.83,clear sky,-20.2333,164.0167,Gîte kajeon
51,Lazaro Cardenas,MX,84.49,clear sky,17.9583,-102.2,quinta antigua
52,Inirida,CO,79.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
53,Isangel,VU,80.6,clear sky,-19.55,169.2667,Tanna Lodge
54,Camocim,BR,81.54,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
55,Sipe Sipe,BO,77.49,broken clouds,-17.45,-66.3833,Cabañas Oasis Marino
56,Moranbah,AU,76.71,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
57,General Roca,AR,81.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
58,Itarema,BR,81.0,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
59,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
60,Ghanzi,BW,79.5,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
